,player,scrape_name,player_image_link
1885,Brian Bowen,bowenbr01,https://www.basketball-reference.com/req/202106291/images/headshots/bowenbr01.jpg
1886,Moses Brown,brownmo01,https://www.basketball-reference.com/req/202106291/images/headshots/brownmo01.jpg
1887,Charlie Brown,brownch01,https://www.basketball-reference.com/req/202106291/images/headshots/brownch01.jpg
1888,Zylan Cheatham,cheatzy01,https://www.basketball-reference.com/req/202106291/images/headshots/cheatzy01.jpg
1889,Daniel Gafford,gaffoda01,https://www.basketball-reference.com/req/202106291/images/headshots/gaffoda01.jpg
1890,Dean Wade,wadede01,https://www.basketball-reference.com/req/202106291/images/headshots/wadede01.jpg
1891,Oshae Brissett,brissos01,https://www.basketball-reference.com/req/202106291/images/headshots/brissos01.jpg
1892,Dewan Hernandez,hernade01,https://www.basketball-reference.com/req/202106291/images/headshots/hernade01.jpg
1893,DaQuan Jeffries,jeffrda01,https://www.basketball-reference.com/req/202106291/images/headshots/jeffrda01.jpg
1894,Max Strus,strusma01,https://www.basketball-reference.com/req/202106291/images/headshots/strusma01.jpg
1895,Keldon Johnson,johnske01,https://www.basketball-reference.com/req/202106291/images/headshots/johnske01.jpg
1896,Sekou Doumbouya,doumbse01,https://www.basketball-reference.com/req/202106291/images/headshots/doumbse01.jpg
1897,Jaylen Nowell,nowelja01,https://www.basketball-reference.com/req/202106291/images/headshots/nowelja01.jpg
1898,Tremont Waters,watertr01,https://www.basketball-reference.com/req/202106291/images/headshots/watertr01.jpg
1899,Jaylen Hoard,hoardja01,https://www.basketball-reference.com/req/202106291/images/headshots/hoardja01.jpg
1900,Shamorie Ponds,pondssh01,https://www.basketball-reference.com/req/202106291/images/headshots/pondssh01.jpg
1901,Ty Jerome,jeromty01,https://www.basketball-reference.com/req/202106291/images/headshots/jeromty01.jpg
1902,Luguentz Dort,dortlu01,https://www.basketball-reference.com/req/202106291/images/headshots/dortlu01.jpg
1903,Norvel Pelle,pelleno01,https://www.basketball-reference.com/req/202106291/images/headshots/pelleno01.jpg
1904,Naz Reid,reidna01,https://www.basketball-reference.com/req/202106291/images/headshots/reidna01.jpg
1905,Talen Horton-Tucker,hortota01,https://www.basketball-reference.com/req/202106291/images/headshots/hortota01.jpg
